| # | SKU | Name | Category | Price | Slug | Title Len | SEO Title | Desc Len | SEO Description | Moiss Scan |
|---|---|---|---|---|---|---|---|---|---|---|
| 11 | `ASB3142` | Orecchini Rivière | Orecchini | €136.00 | `orecchini-riviere` | 56 | Rivière — Orecchini in Rodio & Argento 925 | Isabel Pepe | 152 | Scopri gli orecchini Rivière di Isabel Pepe: Argento 925 con finitura in Rodio 0.1µm e nano-coating. Cofanetto regalo luxury e garanzia 24 mesi inclusi. | ✅ 0 |
| 12 | `ASB4019` | Bracciale Iconique | Bracciali | €125.00 | `bracciale-iconique` | 57 | Iconique — Bracciale in Rodio & Argento 925 | Isabel Pepe | 146 | Scopri il bracciale Iconique di Isabel Pepe: Argento 925 con finitura in Rodio Puro 0.1µm e solitario. Cofanetto regalo luxury e garanzia inclusi. | ✅ 0 |
| 13 | `ASB4043` | Bracciale Radiance | Bracciali | €120.00 | `bracciale-radiance` | 57 | Radiance — Bracciale in Rodio & Argento 925 | Isabel Pepe | 151 | Scopri il bracciale Radiance di Isabel Pepe: Argento 925 con finitura in Rodio 0.1µm e solitario brillante. Cofanetto regalo luxury e garanzia inclusi. | ✅ 0 |
| 14 | `ASB4054-PINK` | Bracciale Eden Rose | Bracciali | €172.00 | `bracciale-eden-rose` | 56 | Eden Rose — Bracciale in Oro 18K & Argento | Isabel Pepe | 150 | Scopri il bracciale Eden Rose di Isabel Pepe: Argento 925 con placcatura Oro 18K 1.0µm e pietra rosa luce. Cofanetto regalo luxury e garanzia inclusi. | ✅ 0 |
| 15 | `ASB4054-WHITE` | Bracciale Harmonie | Bracciali | €161.00 | `bracciale-harmonie` | 57 | Harmonie — Bracciale in Rodio & Argento 925 | Isabel Pepe | 151 | Scopri il bracciale Harmonie di Isabel Pepe: Argento 925 con finitura in Rodio 0.1µm e solitario brillante. Cofanetto regalo luxury e garanzia inclusi. | ✅ 0 |
| 16 | `ASB4055` | Bracciale Cascade | Bracciali | €135.00 | `bracciale-cascade` | 56 | Cascade — Bracciale in Rodio & Argento 925 | Isabel Pepe | 154 | Scopri il bracciale Cascade di Isabel Pepe: Argento 925 con finitura in Rodio 0.1µm e pavé continuo brillante. Cofanetto regalo luxury e garanzia inclusi. | ✅ 0 |
| 17 | `ASB4064` | Mon Amour Royale | Bracciali | €128.00 | `mon-amour-royale` | 51 | Mon Amour Royale — Bracciale in Rodio | Isabel Pepe | 150 | Scopri Mon Amour Royale di Isabel Pepe: bracciale in Argento 925 con finitura in Rodio 0.1µm e cuore pavé. Cofanetto regalo luxury e garanzia inclusi. | ✅ 0 |
| 18 | `ASB4068` | Bracciale Tennis Monte Carlo | Bracciali | €136.00 | `bracciale-tennis-monte-carlo` | 57 | Monte Carlo — Tennis in Rodio & Argento 925 | Isabel Pepe | 148 | Scopri il tennis Monte Carlo di Isabel Pepe: Argento 925 con finitura in Rodio 0.1µm e pietre brillanti. Cofanetto regalo luxury e garanzia inclusi. | ✅ 0 |
| 19 | `BTB024` | Eclat Royal | Bracciali | €341.00 | `eclat-royal` | 58 | Eclat Royal — Bracciale in Oro 18K & Argento | Isabel Pepe | 151 | Scopri il bracciale Eclat Royal di Isabel Pepe: maglie in Argento 925 con placcatura Oro 18K 1.0µm e doppio scudo. Cofanetto luxury e garanzia inclusi. | ✅ 0 |
| 20 | `BTB047` | Siena Gold | Collane | €235.00 | `siena-gold` | 59 | Siena Gold — Collana in Oro 18K & Argento 925 | Isabel Pepe | 153 | Scopri la collana Siena Gold di Isabel Pepe: Argento 925 con placcatura Oro 18K 1.0µm e nano-coating. Cofanetto regalo luxury e garanzia 24 mesi inclusi. | ✅ 0 |
| 21 | `BTN005-GOLD` | Collana Brera Gold | Collane | €230.00 | `collana-brera-gold` | 59 | Brera Gold — Collana in Oro 18K & Argento 925 | Isabel Pepe | 154 | Scopri la collana Brera Gold di Isabel Pepe: Argento 925 con placcatura Oro 18K 1.0µm e pavé taglio brillante. Cofanetto regalo luxury e garanzia inclusi. | ✅ 0 |
| 22 | `BTN005-SILVER` | Collana Brera Silver | Collane | €230.00 | `collana-brera-silver` | 59 | Brera Silver — Collana in Rodio & Argento 925 | Isabel Pepe | 148 | Scopri la collana Brera Silver di Isabel Pepe: Argento 925 con finitura in Rodio 0.1µm e pavé brillante. Cofanetto regalo luxury e garanzia inclusi. | ✅ 0 |
| 23 | `BTN006` | Collana Éclipse | Collane | €262.00 | `collana-eclipse` | 54 | Éclipse — Collana in Rodio & Argento 925 | Isabel Pepe | 151 | Scopri la collana Éclipse di Isabel Pepe: cerchi in Argento 925 con finitura in Rodio 0.1µm e nano-coating. Cofanetto regalo luxury e garanzia inclusi. | ✅ 0 |
| 24 | `BTN028` | Isabel Romance | Collane | €271.00 | `isabel-romance` | 59 | Isabel Romance — Collana in Oro 18K & Argento | Isabel Pepe | 155 | Scopri Isabel Romance di Isabel Pepe: collana cuore in Argento 925 con placcatura Oro 18K 1.0µm e doppio scudo. Cofanetto regalo luxury e garanzia inclusi. | ✅ 0 |
| 25 | `BTS018-EARRING` | Glow Ribbon | Orecchini | €204.00 | `glow-ribbon` | 48 | Glow Ribbon — Orecchini in Oro 18K | Isabel Pepe | 148 | Scopri gli orecchini Glow Ribbon di Isabel Pepe: fiocco in Argento 925 con Oro 18K 1.0µm e nano-coating. Cofanetto regalo luxury e garanzia inclusi. | ✅ 0 |
| 26 | `BTS036` | Set Papillon Splendeur | Set | €260.00 | `set-papillon-splendeur` | 54 | Papillon Splendeur — Set Parure in Rodio | Isabel Pepe | 151 | Scopri Papillon Splendeur di Isabel Pepe: parure in Argento 925 con finitura in Rodio 0.1µm e nano-coating. Cofanetto regalo luxury e garanzia inclusi. | ✅ 0 |
| 27 | `MS1093` | Collana L'Éternel | Collane | €124.00 | `collana-l-eternel` | 56 | L'Éternel — Collana in Rodio & Argento 925 | Isabel Pepe | 154 | Scopri la collana L'Éternel di Isabel Pepe: 3 cuori in Argento 925 con finitura in Rodio 0.1µm e nano-coating. Cofanetto regalo luxury e garanzia inclusi. | ✅ 0 |
| 28 | `MS1096` | Collana Étoile | Collane | €149.00 | `collana-etoile` | 53 | Étoile — Collana in Rodio & Argento 925 | Isabel Pepe | 154 | Scopri la collana Étoile di Isabel Pepe: punto luce in Argento 925 con finitura in Rodio 0.1µm e nano-coating. Cofanetto regalo luxury e garanzia inclusi. | ✅ 0 |
| 29 | `MS1105` | Collana Symbiose | Collane | €140.00 | `collana-symbiose` | 55 | Symbiose — Collana in Rodio & Argento 925 | Isabel Pepe | 151 | Scopri la collana Symbiose di Isabel Pepe: Argento 925 con finitura in Rodio Puro 0.1µm e pietre brillanti. Cofanetto regalo luxury e garanzia inclusi. | ✅ 0 |
| 30 | `MS1141` | Fleur | Collane | €130.00 | `fleur` | 52 | Fleur — Collana in Rodio & Argento 925 | Isabel Pepe | 153 | Scopri la collana Fleur di Isabel Pepe: fiore in Argento 925 con finitura in Rodio Puro 0.1µm e nano-coating. Cofanetto regalo luxury e garanzia inclusi. | ✅ 0 |
| 31 | `MS1208` | Collana Duo Harmonie | Collane | €133.00 | `collana-duo-harmonie` | 59 | Duo Harmonie — Collana in Rodio & Argento 925 | Isabel Pepe | 155 | Scopri la collana Duo Harmonie di Isabel Pepe: cuore in Argento 925 con finitura in Rodio 0.1µm e nano-coating. Cofanetto regalo luxury e garanzia inclusi. | ✅ 0 |
| 32 | `MS12236` | Collana Métamorphose | Collane | €172.00 | `collana-metamorphose` | 57 | Métamorphose — Collana in Oro 18K & Argento | Isabel Pepe | 148 | Scopri Métamorphose di Isabel Pepe: farfalla in Argento 925 con placcatura Oro 18K 1.0µm e doppio scudo. Cofanetto regalo luxury e garanzia inclusi. | ✅ 0 |
| 33 | `MS12242` | Collana Chantilly | Collane | €178.00 | `collana-chantilly` | 56 | Chantilly — Collana in Rodio & Argento 925 | Isabel Pepe | 152 | Scopri la collana Chantilly di Isabel Pepe: Argento 925 con finitura in Rodio Puro 0.1µm e pietre brillanti. Cofanetto regalo luxury e garanzia inclusi. | ✅ 0 |
| 34 | `MSR1075` | Anello Constellation | Anelli | €111.00 | `anello-constellation` | 55 | Constellation — Anello in Rodio & Argento | Isabel Pepe | 155 | Scopri l'anello Constellation di Isabel Pepe: Argento 925 con finitura in Rodio Puro 0.1µm e solitario. Cofanetto regalo luxury e garanzia 24 mesi inclusi. | ✅ 0 |
| 35 | `MSR1078` | Anello Châtelaine Silver | Anelli | €111.00 | `anello-chatelaine-silver` | 49 | Châtelaine Silver — Anello in Rodio | Isabel Pepe | 147 | Scopri Châtelaine Silver di Isabel Pepe: anello in Argento 925 con finitura in Rodio 0.1µm e solitario. Cofanetto regalo luxury e garanzia inclusi. | ✅ 0 |
| 36 | `MSR1089` | Solitaire Gold Grace | Anelli | €125.00 | `solitaire-gold-grace` | 54 | Solitaire Gold Grace — Anello in Oro 18K | Isabel Pepe | 150 | Scopri Solitaire Gold Grace di Isabel Pepe: anello in Argento 925 con Oro 18K 1.0µm e solitario brillante. Cofanetto regalo luxury e garanzia inclusi. | ✅ 0 |
| 37 | `MSR1139` | Anello Imperial | Anelli | €135.00 | `anello-imperial` | 54 | Imperial — Anello in Rodio & Argento 925 | Isabel Pepe | 149 | Scopri l'anello Imperial di Isabel Pepe: Argento 925 con finitura in Rodio Puro 0.1µm e pietre brillanti. Cofanetto regalo luxury e garanzia inclusi. | ✅ 0 |
| 38 | `MSR1220` | Anello Lune d'Argent | Anelli | €114.00 | `anello-lune-d-argent` | 59 | Lune d'Argent — Anello in Rodio & Argento 925 | Isabel Pepe | 155 | Scopri Lune d'Argent di Isabel Pepe: anello in Argento 925 con finitura in Rodio 0.1µm e solitario 2ct. Cofanetto regalo luxury e garanzia 24 mesi inclusi. | ✅ 0 |
| 39 | `PL-15-BRACELET` | Set Sweet Romance | Bracciali | €210.00 | `set-sweet-romance` | 59 | Sweet Romance — Bracciale con Perle & Oro 18K | Isabel Pepe | 155 | Scopri Sweet Romance di Isabel Pepe: perle d'acqua dolce 7.5-8mm e finiture in Oro 18K 1.0µm. Cofanetto regalo luxury e garanzia ufficiale 24 mesi inclusi. | ✅ 0 |
| 40 | `PL-30` | Vendôme Pearl | Collane | €161.00 | `vendome-pearl` | 57 | Vendôme Pearl — Collana con Perle & Oro 18K | Isabel Pepe | 155 | Scopri Vendôme Pearl di Isabel Pepe: collana con perle d'acqua dolce 7-8mm e chiusura in Oro 18K 1.0µm. Cofanetto regalo luxury e garanzia 24 mesi inclusi. | ✅ 0 |
| 41 | `PL-30` | Collana Divina | Collane | €209.00 | `collana-divina` | 50 | Divina — Collana con Perle & Oro 18K | Isabel Pepe | 152 | Scopri la collana Divina di Isabel Pepe: perle naturali 5-6mm e finiture in Oro 18K 1.0µm. Cofanetto regalo luxury e garanzia ufficiale 24 mesi inclusi. | ✅ 0 |
| 42 | `PL-40` | Collana Solitaire Paris | Collane | €199.00 | `collana-solitaire-paris` | 59 | Solitaire Paris — Collana con Perle & Oro 18K | Isabel Pepe | 154 | Scopri Solitaire Paris di Isabel Pepe: perla d'acqua dolce 10-11mm su catena in Argento 925 con Oro 18K 1.0µm. Cofanetto regalo luxury e garanzia inclusi. | ✅ 0 |
| 43 | `PL-6` | Set Perla Royal | Set | €175.00 | `set-perla-royal` | 58 | Perla Royal — Set Parure con Perle & Oro 18K | Isabel Pepe | 154 | Scopri il Set Perla Royal di Isabel Pepe: parure con perle naturali 4-5mm e finiture in Oro 18K 1.0µm. Cofanetto regalo luxury e garanzia 24 mesi inclusi. | ✅ 0 |
